bbl,facdomain,facgroup,facsubgrp,factype,facname,overagency,address,id
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,GOVERNOR'S HOUSE,"The New York State Office of Parks, Recreation and Historic Preservation",,12723
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,ADMIRAL'S HOUSE,"The New York State Office of Parks, Recreation and Historic Preservation",,1359
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,CASTLE WILLIAMS,"The New York State Office of Parks, Recreation and Historic Preservation",,5639
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,FORT JAY,"The New York State Office of Parks, Recreation and Historic Preservation",,11764
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,GOVERNOR'S ISLAND,"The New York State Office of Parks, Recreation and Historic Preservation",,12724
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,"BLOCK HOUSE, THE","The New York State Office of Parks, Recreation and Historic Preservation",,3461
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,CITY-STATE PARK,SOUTH BATTERY,Trust for Governors Island,1 GOVERNORS ISLAND,27210
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,CITY-STATE PARK,NOLAN PARK,Trust for Governors Island,1 GOVERNORS ISLAND,19634
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,CITY-STATE PARK,COLONELS ROW,Trust for Governors Island,1 GOVERNORS ISLAND,8160
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,CITY-STATE PARK,PARADE GROUND,Trust for Governors Island,1 GOVERNORS ISLAND,20975
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,CITY-STATE PARK,PLAY LAWN,Trust for Governors Island,1 GOVERNORS ISLAND,23550
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,CITY-STATE PARK,HAMMOCK GROVE,Trust for Governors Island,1 GOVERNORS ISLAND,13186
1000010010,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,PARKS,CITY-STATE PARK,LIGGETT TERRACE,Trust for Governors Island,1 GOVERNORS ISLAND,15698
1000020002,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY TERMINAL,BATTERY MARITIME BUILDING FERRY TERMINAL,NYC Department of Transportation,BATTERY MARITIME BUILDING,2789
1000020002,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY TERMINAL,BATTERY MARITIME BLDG / FERRY,NYC Department of Small Business Services,10 SOUTH STREET,2785
1000057501,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,NYC Department of Health and Mental Hygiene,125 BROAD STREET,3986
1000057501,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",NYC Department of Health and Mental Hygiene,125 BROAD STREET,3979
1000057501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,INSTITUTE FOR COMMUNITY LIVING INC. - HH NON - MEDICAID CM,NYS Office of Mental Health,125 BROAD STREET,14760
1000057501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,INSTITUTE FOR COMMUNITY LIVING INC. - HH CM,NYS Office of Mental Health,125 BROAD STREET,62
1000057501,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,INSTITUTE FOR COMMUNITY LIVING,NYS Office for People With Developmental Disabilities,125 BROAD STREET,14758
1000057501,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,PROGRAMS FOR PEOPLE WITH DISABILITIES,PROGRAMS FOR PEOPLE WITH DISABILITIES,ICL JOSELOW HOUSE  INC.,NYS Office for People With Developmental Disabilities,125 BROAD STREET,14556
1000130005,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,"MULTI-DISCIPL, PERF & NON-PERF","AMERICAN INDIAN COMMUNITY HOUSE, INC.",NYC Department of Cultural Affairs,11 BROADWAY,1931
1000130005,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,"MULTI-DISCIPL, PERF & NON-PERF","COMMUNITY-WORD PROJECT, INC.",NYC Department of Cultural Affairs,11 BROADWAY,8437
1000157501,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,CENTURY SCHOOL OF LANGUAGES,NYC Department of Education,17 BATTERY PLACE,5964
1000157501,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,"NEW YORK FILM ACADEMY, LTD",NYC Department of Education,17 BATTERY PLACE,19622
1000157501,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,PRAXIS HOUSING INITIATIVES INC CHECK HEP C [574],NYC Department of Health and Mental Hygiene,17 BATTERY PLACE,23812
