facsubgrp,factype,id,facname,id,facname
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1265,ACHIEVEMENT FIRST CROWN HEIGHTS,1266,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,1266,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,1265,ACHIEVEMENT FIRST CROWN HEIGHTS
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1271,ACHIEVEMENT FIRST ENDEAVOR CHARTER,1272,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1254,ACHIEVEMENT FIRST APOLLO CHARTER,1255,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,1255,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,1254,ACHIEVEMENT FIRST APOLLO CHARTER
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1257,ACHIEVEMENT FIRST ASPIRE CHARTER,1258,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,1258,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,1257,ACHIEVEMENT FIRST ASPIRE CHARTER
CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,1272,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,1271,ACHIEVEMENT FIRST ENDEAVOR CHARTER
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,1273,ACHIEVEMENT FIRST LINDEN CHARTER SCH,1274,ACHIEVEMENT FIRST LINDEN ELEMENTARY SCHOOL
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,1274,ACHIEVEMENT FIRST LINDEN ELEMENTARY SCHOOL,1273,ACHIEVEMENT FIRST LINDEN CHARTER SCH
